listing_id,review_id,date,reviewer_id
28495899,400138628,2019-01-11,226432527
37672499,554885627,2019-10-27,251635408
12475216,205947419,2017-10-23,856737
4070025,23382533,2014-11-30,19063594
4911410,566696386,2019-11-20,49901103
26038458,412795207,2019-02-16,222023854
28914352,471989623,2019-06-18,256127613
3597324,645603187,2020-08-02,208267761
18137088,707798726,2020-11-09,135189630
30038535,420904989,2019-03-08,44614898
20253277,414925561,2019-02-21,80902563
21671420,322151009,2018-09-12,202072048
9022230,116757163,2016-12-03,97698426
27540102,350874732,2018-11-20,104375527
32341313,500107753,2019-08-01,47500079
15531172,526739441,2019-09-09,68418906
8209118,83280089,2016-07-02,2343229
13175175,620315216,2020-03-21,330606547
17122054,636893322,2020-07-11,32076403
10462710,335762960,2018-10-13,59977733
27604639,318200568,2018-09-03,184863402
15885462,327833552,2018-09-24,11063425
32537313,472309388,2019-06-19,260247587
1253351,130976454,2017-02-09,113719727
7640081,61673354,2016-02-07,40175859
11235469,353899803,2018-11-30,69673504
12224925,135774225,2017-03-06,42509379
17650550,299311711,2018-07-30,10140302
10740199,430304334,2019-03-30,19285612
45767271,713772078,2020-12-06,73337575
1055486,550769364,2019-10-19,166423039
2061798,106828632,2016-10-08,26605637
17142309,403666171,2019-01-21,42005662
8867131,66754791,2016-03-24,39420018
16808592,227562789,2018-01-15,111760268
15796169,259449168,2018-05-01,52987937
20022944,210507605,2017-11-10,35614635
6858867,304795890,2018-08-10,38274546
4462435,183041937,2017-08-16,94594899
655234,15451429,2014-07-09,2886927
8300170,51180162,2015-10-18,43168356
22330857,409522405,2019-02-08,216810419
21431963,561121650,2019-11-08,271974218
35177054,615585785,2020-03-08,340155590
38836792,586528604,2020-01-02,164756695
2343894,25542865,2015-01-19,19437021
26834116,321856241,2018-09-11,142066110
22754311,256871671,2018-04-24,84074519
16541393,231643243,2018-02-02,112848709
17874801,244220034,2018-03-18,48260118
422410,27645505,2015-03-09,25605964
21578156,219996524,2017-12-20,13450331
19032207,195155088,2017-09-18,34102417
37970650,715529928,2020-12-14,30873045
900383,435574277,2019-04-11,13310417
7070487,145453745,2017-04-18,1610711
40708748,721221493,2021-01-02,44820525
140133,243885462,2018-03-17,13339690
5799894,602630964,2020-02-07,145309633
33835172,483389050,2019-07-07,66354265
1123972,32312137,2015-05-17,12370188
6440426,78613582,2016-06-07,987151
37354070,586800855,2020-01-02,28218907
23405974,444773403,2019-04-28,230391133
837096,5002086,2013-06-06,2322655
2346019,15319126,2014-07-07,15317163
20747769,279077765,2018-06-19,188579123
19779385,171979327,2017-07-19,81941238
33666189,450601726,2019-05-10,111662810
5992815,158876465,2017-06-08,103465905
37357947,571954536,2019-12-01,293749072
12370347,254385888,2018-04-16,5416827
25346963,615936350,2020-03-08,64098710
24947512,328700950,2018-09-27,57522393
3420646,48384063,2015-09-26,25644351
13783769,571851657,2019-12-01,220217268
15196193,146221558,2017-04-22,105536177
1724725,297037067,2018-07-27,80556456
20221423,348511536,2018-11-14,20650900
45980680,719069315,2020-12-28,369104284
34599658,470305035,2019-06-16,262249633
20134113,359556950,2018-12-17,200211047
4570424,318648809,2018-09-04,199885034
19555750,532404252,2019-09-19,220939985
10622828,94288284,2016-08-15,27662371
16560217,127643612,2017-01-19,27251
3266672,219048231,2017-12-16,102884403
22435313,412422679,2019-02-15,171312593
29129788,479962154,2019-07-01,10404812
24384249,655803807,2020-08-23,202441198
25924751,308714276,2018-08-17,202100081
21810222,262844268,2018-05-10,186335067
31055500,433363842,2019-04-06,63467972
2888088,279440091,2018-06-20,154073069
35463466,614923452,2020-03-06,20938591
21181509,330236370,2018-09-30,68521962
33133765,542163570,2019-10-06,2158350
